id,Name,titleProject_id,class,score , login , password
1 , Папандина Клавдия Яковлевна , 304 , 9в , 5 , Папандина_КЯ , PnfP9lbJ
7 , Меднова Наталья Богдановна , 290 , 7и , 5 , Меднова_НБ , pkHTBzO1
8 , Житихин Вячеслав Романович , 141 , 9а , 5 , Житихин_ВР , n8CRXpcA
9 , Шеврина Полина Максимовна , 33 , 11а , 5 , Шеврина_ПМ , 6jXv07ZV
12 , Дориков Дмитрий Петрович , 296 , 10г , 5 , Дориков_ДП , OepCZp1A
13 , Корабышев Кирилл Михаилович , 302 , 8и , 5 , Корабышев_КМ , qRbtb1KN
17 , Королупов Валерий Тимофеевич , 397 , 10д , 5 , Королупов_ВТ , rz5VRwH1
21 , Опевалова Вера Евгеньевна , 473 , 9д , 5 , Опевалова_ВЕ , 9wrswLxE
22 , Назерова Вероника Василевна , 206 , 7б , 5 , Назерова_ВВ , jmrP57rn
23 , Дименская Светлана Дмитриевна , 387 , 9д , 5 , Дименская_СД , NlPou3v3
25 , Кулишнин Вячеслав Яковлевич , 386 , 11х , 5 , Кулишнин_ВЯ , hm9k2jRm
26 , Лексин Кирилл Антонович , 139 , 7в , 5 , Лексин_КА , 18q8QWsg
27 , Лаковский Григорий Василиевич , 240 , 7д , 5 , Лаковский_ГВ , Xr87512C
31 , Моторыгин Илья Георгиевич , 238 , 10и , 5 , Моторыгин_ИГ , t5uuUrhV
32 , Рыков Тарас Павлович , 174 , 10и , 5 , Рыков_ТП , 3TbArXv6
33 , Иончикова Елизавета Егоровна , 169 , 8д , 5 , Иончикова_ЕЕ , HqWe9wqL
34 , Смолькина Алиса Егоровна , 441 , 7г , 5 , Смолькина_АЕ , ktr2SC1J
41 , Шумейкин Роман Павлович , 420 , 8в , 5 , Шумейкин_РП , CuMuKX0F
46 , Бутукин Владимир Адамович , 221 , 7х , 5 , Бутукин_ВА , E2VVxvSR
48 , Ревцев Василий Павлович , 360 , 9х , 5 , Ревцев_ВП , 1UvDm5T1
54 , Понизов Виктор Кириллович , 214 , 11и , 5 , Понизов_ВК , q8dlXqxk
55 , Суздалев Валерий Алексеевич , 66 , 11т , 5 , Суздалев_ВА , m24BljmR
59 , Крассов Валерий Олегович , 201 , 8х , 5 , Крассов_ВО , WPq8qTcF
65 , Ахантьев Игорь Валериевич , 80 , 10д , 5 , Ахантьев_ИВ , 2ShRSf5l
68 , Брюкина Оксана Викторовна , 98 , 8в , 5 , Брюкина_ОВ , y8EXeOWR
73 , Декалова Полина Леонидовна , 470 , 11д , 5 , Декалова_ПЛ , KB0gRGwh
74 , Лосицкий Владимир Кириллович , 369 , 9т , 5 , Лосицкий_ВК , nkjQAS6r
75 , Магнусов Пётр Максимович , 437 , 7и , 5 , Магнусов_ПМ , ZhgcR3E7
77 , Шушкалова Вероника Алексеевна , 411 , 8т , 5 , Шушкалова_ВА , n9vCp0t3
78 , Бороданова Маргарита Дмитриевна , 118 , 7г , 5 , Бороданова_МД , RuK4QR01
84 , Макунова Мария Борисовна , 47 , 9в , 5 , Макунова_МБ , uBMpKfk5
85 , Верзанский Геннадий Андреевич , 497 , 7д , 5 , Верзанский_ГА , bbRN5o7V
86 , Алтубин Ярослав Леонидович , 414 , 10г , 5 , Алтубин_ЯЛ , Xu0t3syQ
87 , Аузин Игорь Алексиевич , 435 , 8х , 5 , Аузин_ИА , O5lX2Yqw
92 , Ходорков Евгений Виталиевич , 344 , 9г , 5 , Ходорков_ЕВ , kDBBwdF4
97 , Мыгеева Лиза Василевна , 280 , 8в , 5 , Мыгеева_ЛВ , nJSeQTx2
100 , Прилепина Яна Максимовна , 30 , 10в , 5 , Прилепина_ЯМ , 2e5K9Xl7
101 , Ведищев Никита Георгиевич , 365 , 7и , 5 , Ведищев_НГ , suWu1J2H
103 , Пирцхалова Карина Леонидовна , 452 , 10г , 5 , Пирцхалова_КЛ , MhT4hoKM
104 , Павлочев Денис Борисович , 432 , 11д , 5 , Павлочев_ДБ , 7lfXulDB
110 , Остаченова Марина Эдуардовна , 229 , 9т , 5 , Остаченова_МЭ , Ve9WRwCY
112 , Иваницкий Константин Борисович , 232 , 8д , 5 , Иваницкий_КБ , TfX2D2hj
113 , Белянский Владислав Игоревич , 74 , 11б , 5 , Белянский_ВИ , kxF3lzeH
123 , Корогев Николай Евгеньевич , 184 , 8б , 5 , Корогев_НЕ , 5n32wRAK
130 , Зябрицкий Игорь Виталиевич , 332 , 7а , 5 , Зябрицкий_ИВ , 7BxSmFSS
131 , Шельдяев Игорь Юриевич , 97 , 7д , 5 , Шельдяев_ИЮ , FF7ajnGs
132 , Шмелькин Максим Викторович , 483 , 9т , 5 , Шмелькин_МВ , mNjkxgt7
146 , Киссин Степан Иванович , 251 , 7х , 5 , Киссин_СИ , 2z7KqOzW
153 , Вермутский Валерий Петрович , 447 , 9и , 5 , Вермутский_ВП , 18opyYFO
155 , Циплакова Екатерина Егоровна , 471 , 9б , 5 , Циплакова_ЕЕ , SmbRp0bm
157 , Выхухолева Лариса Василевна , 384 , 8б , 5 , Выхухолева_ЛВ , 0HbrNhNM
158 , Целохов Андрей Вадимович , 433 , 8и , 5 , Целохов_АВ , 0PmHNuZD
169 , Енесина Лиза Валерьевна , 293 , 9б , 5 , Енесина_ЛВ , k0NOGXkd
170 , Пикальков Эдуард Алексиевич , 21 , 8д , 5 , Пикальков_ЭА , JvHz0gb4
173 , Лапундин Юрий Игоревич , 267 , 8и , 5 , Лапундин_ЮИ , 3VyGJpau
177 , Погиблева Дарья Леонидовна , 283 , 9в , 5 , Погиблева_ДЛ , 27RMBRyh
180 , Сыждиков Пётр Василиевич , 494 , 11х , 5 , Сыждиков_ПВ , rJp56UnC
185 , Хадаров Владимир Валериевич , 278 , 11т , 5 , Хадаров_ВВ , 2sjWTrD8
201 , Радоминова Любовь Игоревна , 25 , 9и , 5 , Радоминова_ЛИ , rE1rsrlw
202 , Шувырина Лиза Андреевна , 395 , 9а , 5 , Шувырина_ЛА , ykmFO0eZ
210 , Пурин Виктор Данилович , 154 , 8и , 5 , Пурин_ВД , PX8BxnAk
